"FT: Republic of Ireland 1-1 Netherlands

MORE: https://t.co/ubvPYSk040

#SkyFootball"
"FT: England 2-1 Australia

Mourinho's men seal the victory for England

MORE: https://t.co/TM51q8PdWz

#SkyFootball https://t.co/pBmZcSn2JA"
"FT: Northern Ireland 3-0 Belarus

MORE: https://t.co/hSxmdM0UvY

#SkyFootball"
"GOAL! England 2-1 Australia (Dier og)

Live blog: https://t.co/TM51q8PdWz

#SkyFootball"
"GOAL! England 2-0 Australia (Rooney)

Live blog: https://t.co/TM51q8PdWz

#SkyFootball"
"HT: Northern Ireland 2-0 Belarus

Live blog: https://t.co/hSxmdM0UvY

#SkyFootball"
"HT: Republic of Ireland 1-0 Netherlands

Live blog: https://t.co/ubvPYSk040

#SkyFootball"
"HT: England 1-0 Australia 

Live blog: https://t.co/TM51q8PdWz  

#SkyFootball https://t.co/Fr2GfPXlcY"
GOAL! England 1-0 Australia (Rashford). Live blog: https://t.co/TM51q8PdWz #SkyFootball
Dwight Yorke urges Jose Mourinho to bring Zlatan Ibrahimovic to #MUFC : https://t.co/AMlU2h39dI https://t.co/OynfQ1idX9
"RT @SkySportsNewsHQ: Northern Ireland XI to face Belarus: Carroll, Mclaughlin, Baird, Evans, Cathcart, Dallas, McNair, Davis, Evans, Laffer…"
"RT @SkySportsNewsHQ: #ROI XI to face #NED: Randolph, Coleman, O'Shea, Duffy, Brady, Quinn, Whelan, Arter, Walters, Long, McGoldrick"
"RT @SkySportsNewsHQ: #AUS XI to face #ENG: Ryan, Smith, Milligan, Wright, Risdon, Jedinak, Luongo, Mooy, Rogic, Kruse, Maclaren"
"RT @SkySportsNewsHQ: #ENG XI to face #AUS: Forster, Clyne, Bertrand, Henderson, Smalling, Stones, Wilshere, Drinkwater, Rashford, Sterling,…"
"England lost 3-1 to Australia when the teams met in 2003, but what became of that team? https://t.co/MuqkXA5AsA https://t.co/ofTampuEvu"
"""Not bad, not good"" - Memphis Depay says his debut season at Manchester United was average https://t.co/6H5F7Yyofx https://t.co/JCgBym83kD"
TRANSFER CENTRE: All the latest news as Middlesbrough sign Viktor Fischer from Ajax https://t.co/XEVD9xUXXT https://t.co/QQ6lTjninF
WATCH: The best of Cristiano Ronaldo this season ahead of the Champions League final https://t.co/DJzxe5gKwW https://t.co/KaO99qFcRm
"The price of Championship play-off promotion: The richest game in football, but how much? https://t.co/GADGCilhK9 https://t.co/5haWAjQHsX"
WATCH: The best of Antoine Griezmann from this season... https://t.co/57mlZJSoyE https://t.co/s285KD45jV
Dwight Yorke thinks Jose Mourinho and Zlatan Ibrahmovic can restore Man Utd to greatness https://t.co/hrp4zGp7Qw https://t.co/WlKjKhbWMs
Ed Woodward has called him the best in the game but what do stats say about Jose Mourinho? https://t.co/Xmg16coomT https://t.co/4tsmSIRP5r
England lost 3-1 to Australia when sides met in 2003 - but what became of that team? https://t.co/72vd24cUfi https://t.co/t5w8pluMZ4
Who makes @GuillemBalague's combined Real Madrid-Atletico Madrid XI? https://t.co/9LEvaCU2ub #UCLfinal https://t.co/hKelcH9Ib6
We bust the myth Jose Mourinho can't deliver exciting football with young players at #mufc: https://t.co/LWNeKf1RNl https://t.co/BHpQyxDJ23
"Sergio Busquets agrees new five-year deal with Barcelona
https://t.co/yKLKpgIBwk https://t.co/5cJ6fLuMzt"
Fernando Torres says Champions League final is the game of his life https://t.co/aRQXy568Gn https://t.co/bUSZyP2yj1
"RT @SkySportsNewsHQ: BREAKING NEWS: Notts County appoint John Sheridan as manager on three-year contract. 

More on #SSNHQ https://t.co/Ajj…"
CL final predictions... Four backing Atletico and just the one for Real Madrid. More here: https://t.co/HELKblJZ67 https://t.co/j7yrIYVNZP
"Mourinho: ""I prefer to forget past three years and focus on giant club in my hands now."" https://t.co/LeZsHQj62k https://t.co/JTa4AaKxyN"
USA women's team could miss Olympics over pay dispute https://t.co/IohVt6zHeu https://t.co/MBjDBtLxee
"The price of Championship play-off promotion: The richest game in football, but how much? https://t.co/cHcTzUHzFN https://t.co/sWIiDGOs4Y"
RT @SkySportsStatto: Jose Mourinho &amp; Pep Guardiola will renew their rivalry in the PL next season. Here’s their head to head record #mufc h…
WATCH: The best of Cristiano Ronaldo this season ahead of the Champions League final https://t.co/tE3eRXshhH https://t.co/s9P75XI7FB
Sky sources: Ex-#MUFC defender Jaap Stam in talks over Reading vacancy. Full story: https://t.co/FMkYve5aSp https://t.co/Xb17v6Tfee
WATCH: The best of Antoine Griezmann from this season... https://t.co/MILMbqTMe9 https://t.co/wnZHZKvzyU
RT @SkySportsNewsHQ: Here is a look at how Jose Mourinho's teams fare against Arsenal and Liverpool #SSNHQ https://t.co/BulUFYx04W
Ed Woodward has called him the best in the game but what do stats say about Jose Mourinho? https://t.co/aVpjPTaKq9 https://t.co/yTT7mUq7ug
RT @SkySportsNewsHQ: BREAKING NEWS: Sky Sources - Jaap Stam in talks with Reading over vacant manager's job #SSNHQ
"Strengths, weaknesses, key battles...favourites? @GuillemBalague's bumper #UCLfinal preview: https://t.co/Rwmu511Q3B https://t.co/4PezVyrEJe"
RT @SkySportsNewsHQ: We'll be joined in the studio by former #MUFC and CFC chief executive Peter Kenyon for his take on all things Mourinho…
"RT @SkySportsNewsHQ: Zlatan Ibrahimovic has been massively linked, but what other transfer plans might Jose Mourinho have? #SSNHQ https://t…"
"RT @SkySportsNewsHQ: Following the appointment of Jose Mourinho, what next for Ryan Giggs? James Cooper reports #SSNHQ #MUFC  https://t.co/…"
"""There's a romance about it no other club can match."" Full story as #MUFC confirm Mourinho: https://t.co/1mwSGiGCKk https://t.co/w4fsK24ABj"
RT @SkySportsStatto: Here’s how Jose Mourinho has fared in his first full season in charge of his previous clubs #mufc https://t.co/fsdac3y…
Memphis Depay admits first season at #MUFC was average: https://t.co/HvFFSIADZI https://t.co/zcfXBLRZUv
"RT @SkySportsNewsHQ: A #MUFC fan has just got Jose Mourinho's first autograph as #MUFC manager, and was offered £200 for it! #SSNHQ https:/…"
"RT @SkySportsStatto: Following his appointment as @ManUtd manager, here’s a look at Jose Mourinho’s Premier League record #mufc https://t.c…"
Who makes @GuillemBalague's combined Real Madrid-Atletico Madrid XI? https://t.co/omJs6IYJAU #UCLfinal https://t.co/7tyRcv9HHi
"RT @SkySportsNewsHQ: Here is what is ahead of Jose Mourinho in the next few weeks, including a trip to Old Trafford next weekend #SSNHQ htt…"
We bust the myth Jose Mourinho can't deliver exciting football with young players at #mufc: https://t.co/wuzY8JAJcR https://t.co/ywjSZBDqqd
"RT @SkySportsNewsHQ: He's the new #MUFC manager, but when will we hear from Jose Mourinho? Here's the latest #SSNHQ #MUFC  https://t.co/jW5…"
"RT @SkySportsNewsHQ: Mourinho on #MUFC: ""There is a mystique and romance about it which no other club can match"" #SSNHQ  https://t.co/Zv3Vj…"
"We profile super-agent Jorge Mendes, who worked on Jose Mourinho's move to #MUFC: https://t.co/L6MRUf6TCO https://t.co/INprktBY6c"
Brazil call up Kaka as late addition for Copa America: https://t.co/4jueqSUOKl https://t.co/j3AA2pzBnI
"As Jose Mourinho is confirmed as #MUFC boss, we look at his first games in charge https://t.co/NNEMF7pVmb https://t.co/PNBqkT1zT7"
RT @SkySportsNewsHQ: Jose Mourinho has posted his first ever post on Instagram. Here is what it looks like #SSNHQ #MUFC  https://t.co/koJib…
"RT @SkySportsNewsHQ: #MUFC fans, here is Jose Mourinho holding your shirt.

More reaction all the time on #SSNHQ https://t.co/LntTNsIjsZ"
RT @SkySportsNewsHQ: It's official! Jose Mourinho confirmed as #MUFC manager. Much more on #SSNHQ now https://t.co/78DDmv7gWw
Man Utd confirm Jose Mourinho as new boss. Follow here: https://t.co/oOT6mxywy3 https://t.co/nwwgxCQORX
"Jose Mourinho and #MUFC: What they have said about each other
https://t.co/KS7xO72z8u https://t.co/FOYW1KpWgm"
"RT @SkySportsFL: Homework, mind games... and a bit of magic - Ian Holloway's guide to play-off glory: https://t.co/ZlYHoEcmGC https://t.co/…"
"RT @SkySportsFL: Stats, key men, expert opinion - Championship final play-off guide for @swfc v @HullCity: https://t.co/KXyarKTLiP https://…"
"We look at five challenges awaiting Jose Mourinho after his appointment as #MUFC boss
https://t.co/ubdzWbU3Ix https://t.co/peYVNNdpq1"
Jamie Carragher on Jose Mourinho joining Manchester United: https://t.co/3710oTd9Cy https://t.co/IIeZoBXqyl
