Congratulations Justine - that's great news.  https://t.co/u64o9WMLTs
"Thank you everyone who voted to keep Britain stronger, safer &amp; better off in Europe - and thousands of @StrongerIn campaigners around the UK"
RT @ElectoralCommUK: Close of poll in 15 minutes for the historic #EURef! Get to your polling station by 10pm https://t.co/ujsLe2Gda7
"RT @StrongerIn: Where's your polling station? Find out here: https://t.co/OSErtpA5wx 

Then vote REMAIN. https://t.co/hNFO9U3pqn"
"RT @StrongerIn: IMPORTANT: As long as you're in the polling station queue by 10pm tonight, you can still vote. So vote REMAIN. https://t.co…"
"RT @ElectoralCommUK: Polling stations are open until 10pm. If you are in the queue by 10pm, you will be able to cast your #EURef vote"
"Polls close at 10pm. Just 1 hour left to #VoteRemain - and keep Britain stronger, safer and better off in Europe. https://t.co/vUs3kJwAKx"
"RT @ElectoralCommUK: Delayed due to adverse weather conditions? Polling stations open until 10pm – if in line at 10pm, you will be able to…"
"RT @StrongerIn: Today is about unity, hope and a brighter future for your children and generations to come. Vote REMAIN. https://t.co/PH7g7…"
RT @StrongerIn: Find your nearest polling station - and remember you don't need your polling card to vote: https://t.co/OSErtpA5wx https://…
"RT @ConservativesIN: If you’re unsure about where your polling station is, use this tool to find out where to vote: https://t.co/A6cYOO3nw0…"
"Remember to #VoteRemain by 10pm tonight to keep Britain stronger, safer and better off in Europe. #StrongerIn https://t.co/miP9wvssBh"
"RT @StrongerIn: James Corden: I hope everyone in Britain will be voting REMAIN #VoteRemain
https://t.co/jfTbe4mWRr"
Thank you to @StrongerIn teams out across the country ensuring people #VoteRemain. You've fought a great campaign: https://t.co/Jh9k6wPSC2
"RT @StrongerIn: Vote REMAIN, and you’re voting with British heroes like Becks, Bear, Bobby and BOND. #EUref https://t.co/bqRq5Dp2Ez"
"#VoteRemain today and secure a stronger future for our country. We're stronger, safer and better off in Europe. https://t.co/x08rC0lAUW"
"RT @StrongerIn: Vote REMAIN, and your vote is backed up by THOUSANDS of independent experts who agree with you #EUref #referendum
https://t…"
"Samantha &amp; I casting our #EUref vote this morning. Polls close at 10pm tonight - make sure you vote, and #VoteRemain https://t.co/tYHnQdr1gu"
RT @StrongerIn: Unable to get to the polling station today? Register BEFORE 5PM for an emergency proxy vote: https://t.co/oB2eQo8NJb https:…
"Today's the day you can vote for a stronger future - with Britain leading, not leaving, Europe. #VoteRemain https://t.co/47VHvqweOC"
RT @TheVoiceNews: June Sarpong &amp; other BME women pen open letter on EU Referendum: Our voices need to be heard https://t.co/uFRNkNeRDC http…
"Incredibly passionate speech from Sheila Hancock, on why we’re stronger together than apart #VoteRemain: https://t.co/6Dp4MWS4dx"
RT @GregHands: With the @RemainCF and Kensington @StrongerIn teams at Earls Court station getting the message out to #VoteRemain https://t.…
RT @edvaizey: Retweet! #VoteRemain #EUref https://t.co/7X9b84Mpi1
"RT @sajidjavid: #VoteRemain today if you want a more prosperous economy, more jobs, and more opportunities for our children and grandchildr…"
It's great to see David Walliams is voting Remain.  https://t.co/SusGgBqiJj
Vote Remain - so that our children and grandchildren have a brighter future.
I'm proud of everyone at @StrongerIn. They have fought a great campaign. The UK has a great future if we #VoteRemain tomorrow.
"RT @BBCNews: .@David_Cameron: ""Don't vote Leave on the basis of things that aren't true"" #EUref 
https://t.co/GWhlHrjOAc https://t.co/hNIln…"
"There's still a few hours left to tell your family, friends and neighbours: We're #StrongerIn Europe. #VoteRemain https://t.co/ORWB5rR0VN"
Delighted to visit @JLRPR in Solihull - a great British employer that is backing #Remain in tomorrow's referendum. https://t.co/0eibn7r86k
One word sums up this campaign:                          Together.                                                   #VoteRemain
At Solihull Hospital to meet @CathyWRCM and a great team of midwives - they believe our NHS will be #StrongerIn. https://t.co/CRUze6zyD6
"With @thehistoryguy at Warriner School, Bloxham. For the sake of our children &amp; grandchildren, #VoteRemain tomorrow. https://t.co/BxjrYPZOHb"
"Tomorrow, play your part in keeping Britain stronger, safer and better off - help a @StrongerIn team in your area: https://t.co/v5Aa5ybMrB"
"Chatting with customers at Millets Farm Garden Centre about why Britain is stronger, safer and better off in Europe. https://t.co/3JGidL7Y7T"
D-Day veteran Patrick Churchill served his country with honour and courage - he believes we're #StrongerIn. https://t.co/KozTe5UM6L
